Poste Description,Niveau Étude
" Au sein de CIO, le portefeuille Data&Referential « Data » contribue à la transformation d’Orange Business avec la mise en œuvre de solutions digitales, en France et à l’international, mais également en plaçant la data et l’IA (Intelligence Artificielle) au cœur de notre stratégie. Au travers du Programme Big Data B2B, Orange Business se donne l’ambition de tirer de la valeur de la donnée pour améliorer son efficacité opérationnelle et l’expérience client, mieux connaître ses clients afin de les fidéliser, mais aussi améliorer leur parcours digital. Vous serez accueilli dans le département « Analytics and Data Intelligence », qui regroupe les activités d'anticipation, d'études fonctionnelles, de projets (collecte de données et/ou réalisation de Use Cases) et de data science. Doté(e) d’une réelle volonté d’apprendre et de progresser, vous êtes amené(e) à contribuer dans la mise en place des outils d’analyse efficaces qui permettent à chacun de nos utilisateurs d’avoir une information à jour disponible et de qualité. Dans un contexte purement agile et multiculturel et en tant que Data analyst votre rôle consiste à : Communiquer avec le Product Owner pour gérer le backlog et définir les User stories. Estimer l'effort de développement et définir les spécifications détaillées des User stories Développement des users stories dans le cadre d’une architecture projet établie Conduire les tests unitaires et d'intégration Participer aux cérémonies agiles Assurer les déploiements dans les différents environnements (recette, pré production et production) Contribuer dans la maintenance corrective et évolutive des différents composants des applications Analytics (pipelines de données ETL avec plusieurs sources de données, y compris des pipelines Spark Big Data, couches sémantiques sur des univers SAP BO ou cubes SSAS, frontend Qlikview, SAP BO , PowerBI) Respecter les délais et les engagements Automatiser et industrialiser les opérations régulières (build, tests, audits de qualité de code, containerisation)",Bac+5
" Au sein d’une équipe projet fonctionnant en mode collaboratif et Agile scrum, Kanban, vous serez l’un des développeurs, travaillant en coordination avec le product-Owner, le Scrum Master, les Business Analysts, les développeurs et équipes partenaires. Dans ce contexte Agile, vous effectuerez différentes tâches : L’analyse des besoins métiers La proposition de solutions La définition des spécifications fonctionnelles L’écriture des spécifications techniques L’estimation du niveau d’effort de développement Le développement selon une architecture logicielle établie La conduite des tests unitaires et d’intégration Le développement des outillages de test associés L’automatisation et l’industrialisation des opérations régulières (process de build, les tests, les audits de qualité de code, la containerisation du code, …) La préparation des packages de livraison (mode devops) Vous assurez le support technique et la maintenance corrective et adaptative des éléments délivrés.",Bac+5
 Véritable ambassadeur de l'entreprise et contact privilégié des clients vos missions sont de : Prospecter par téléphone le portefeuille de professionnels existant (Chefs d’entreprise ou Dirigeants d’établissements) afin de développer le chiffre d’affaires et vendre nos produits et services; Détecter les besoins des clients et leur proposer une offre adaptée; Contribuer à la promotion et la fidélisation de nos clients en respectant des critères qualité élevés.,Bac+3
 Le Représentant Commercial s’occupe : Faire de la prospection de nouveaux clients. Assurer la vente et le conseil des produits ou services qu’il propose. Gérer la relation client soit par téléphone ou par mail. Fidéliser les clients et leur apporter conseils et un accompagnement personnalisé. Faire le suivi d’une commande. Proposer les services après-vente. Assister au réunions de travail.,Bac+2
" Pour le compte de l'un de nos clients, nous recrutons des Gestionnaires de Recouvrement Contentieux Corporate et particuliers/ Professionnels (H/F) Le gestionnaire de recouvrement contentieux aura pour missions : La prise en charge le recouvrement des dossiers Entreprise ou recouvrement des créances des particuliers et des professionnels. La gestion de la relation client et réalisation des objectifs définis par la DG.",Bac+3
" Key Responsibilities: Assist in the end-to-end recruitment process, from sourcing to onboarding. Engage with candidates through various channels, ensuring a positive candidate experience. Collaborate with team members to identify top talent and contribute to hiring strategies. Gain exposure to recruitment tools and methodologies.",Bac+5
" Pour accompagner la croissance de notre activité au sein du centre de services international de Casablanca, nous recrutons un Concepteur Développeur Full-Stack Au sein d'une équipe pluridisciplinaire fonctionnant en mode agile Kanban, vous participerez à l’ensemble des phases du projet de la conception à la mise en production. En collaboration avec l’équipe, vous prendrez en charge les développements en Java/Springboot/Angular des composants applicatifs déployés via Gitlab CI. Les projets gérés par l’équipe étant stratégiques pour Orange, le niveau d'autonomie technique de performance et de fiabilité attendu est très élevé. Ce point nécessite une attention particulière dans la conception de l’architecture logicielle et le développement des solutions proposées. Dans ce cadre, vous serez amenés à : Assurer une forte collaboration avec le scrum master pour atteindre les objectifs projet. Analyser et Macro-chiffrer les propositions de solutions et user stories. Réaliser et Valider les conceptions techniques, et les modélisations BDD. Contribuer au partage des connaissances techniques et à la diffusion de la culture craftsmanship, le respect des bonnes pratiques de développement, contribuer à la cohérence de l'application. Réaliser le développement des versions correctives et évolutives, ainsi que les tests unitaires conformément aux règles en vigueur. Contribuer à l'analyse des retours suite aux phases de recettes Assurer le support technique à l’équipe de développement Contribuer aux à l'activité RUN et aux mises en production. Contribuer à la rédaction de la documentation projet",Bac+5
" Rattaché au service électricité, vous avez pour missions: Assurer les études et la gestion technique des projets, Piloter et optimiser la production des plans (notes de calcul de structures et pièces écrites), Assurer l'établissement des bilans de puissance, des livrables APS, APD et l'estimation financière du projet, Etablir els cahier de charge (règlement de consultation, CPT, description des ouvrages), Encadrer et superviser l'équipe des projeteurs et de dessinateurs impliqués dans le projet, Assurer le suivi technique des plans d'exécution et la conformité des prestations réalisées. Novec s’engage à promouvoir la mixité dans les recrutements et à prévenir toute forme de discrimination.",Bac+5
" Rattaché au service Electricité, vous avez pour missions : Elaboration des notes de calcul électrique à l'aide de Caneco et Excel, Elaboration des pièces graphiques courant fort et faible à l'aide des logiciels Autocad, Revit..... Suivi et réception des travaux. Novec s’engage à promouvoir la mixité dans les recrutements et à prévenir toute forme de discrimination.",Bac+2
" Rattaché au service Métrés et Prescriptions, vous avez pour principales missions : - Montage des estimations et contrôle des coûts de construction, - Lecture des plans architecturaux, - Etablissement des avants métrés, des métrés d'exécution et des prescriptions des lots secondaires; - Prise des attachements sur chantier, - Vérification des propositions financières (devis) et établissement des contrats. Novec s’engage à promouvoir la mixité dans les recrutements et à prévenir toute forme de discrimination.",Bac+2
" We are seeking a Senior Business Intelligence Consultant to join our team. As a key member of our organization, you will be responsible for analyzing complex datasets, providing valuable insights, and assisting our clients in making data-driven decisions. If you have a passion for business intelligence and a strong analytical mindset, we would love to hear from you! Responsibilities: Data Analysis and Reporting: Analyze large and complex datasets to identify trends, patterns, and opportunities for business improvement. Develop insightful reports and visualizations to effectively communicate data findings to stakeholders. Business Strategy Development: Collaborate with clients to understand their business objectives and translate them into actionable business intelligence strategies. Provide recommendations based on data analysis to drive decision-making and optimize business performance. Data Modeling and Visualization: Design and develop data models that enable efficient analysis and reporting. Create interactive dashboards and visualizations using industry-standard tools to facilitate data exploration and understanding. Client Engagement: Engage with clients to understand their specific business needs and challenges. Serve as a trusted advisor, providing guidance and insights to help clients leverage data effectively.",Bac+5
 Prise en charge du support (niveau 1) Prise d’appels helpdesk; Qualification et rédaction des tickets d’incident ; Résolution des incidents du 1er niveau; «Dispatcher » les tickets et assurer leur suivi ; Suivre la qualité du helpdesk via SLA et assurer la coordination.,Bac+3
" About the job: Leyton Morocco provides high-value support to the group in business and engineering services. Our skilled resources and multilingual abilities enable us to serve a diverse customer base worldwide, expertly navigating even the most complex processes. Our expertise revolves around several activities: innovation funding, consulting, energy, and outsourced services. The main mission of the Big Data Engineer will be to coordinate all operational data management activities concerning various projects based on a Big Data stack. Main Responsibilities: Frame and translate user need into functional and technical business needs. Model and implement the infrastructures allowing the management of the company's Data in line with the different business challenges. Ensure the design and development of data flows (Ingestion, Data Modeling, Data Warehousing, Data Cleaning) with Big Data technologies. Study the source systems. Define the optimal strategy for the overall data management from the initial collection to the analysis. Automate interface processing tasks, expose data in API / Webservices. Be responsible for the solutions delivered and their compliance with customer expectations. Contribute to the technological watch on Big Data subjects and supervise less experienced employees (juniors and interns).",Bac+5
" En tant que Comptable Confirmé, votre principale mission serait de tenir une partie de la comptabilité dans les normes et le référentiel en vigueur ainsi que d'élaborer tous les reportings nécessaires. Vos missions seront notamment les suivantes : Porter la responsabilité partielle de la tenue courante des comptes de comptabilité générale et analytique ; Rassembler, coordonner et vérifier les données comptables ; Analyser les situations comptables ; Centraliser et consolider une partie des les comptes de l’entreprise ; Coordonner et appliquer les procédures comptables ; S'assurer de la conformité des comptes ; Réaliser les reportings mensuels.",Bac+4
" En tant que Comptable, votre principale mission est de participer la tenue de la comptabilité sur des périmètres qui vous seront confiés (comptabilité, client, fournisseurs,..). Vos missions seront notamment les suivantes : Prendre en charge le périmètre comptable qui vous sera confié ; Tenir avec rigueur les écritures comptables et le reporting hebdomadaire.",Bac+3
 Conseiller Commercial Secteur s’occupe : Animer le lieu de vente et favoriser la convivialite Accueillir et orienter les clients Interroger ses clients sur leurs besoins et leur budget Vendre des vehicules et des services associes Suivre les dossiers de vente et de livraison des véhicules,Bac+2
 Conseiller Commercial Secteur s’occupe : Animer le lieu de vente et favoriser la convivialite Accueillir et orienter les clients Interroger ses clients sur leurs besoins et leur budget Vendre des vehicules et des services associes Suivre les dossiers de vente et de livraison des véhicules,Bac+2
" This is your opportunity to showcase your expertise and deliver innovative projects for the world’s largest airline. Depending on your experience, you could be considered for one of two roles: Senior Quality Assurance Engineer : You’ll need at least three years’ hands-on experience developing and implementing quality engineering practices and processes. This role is part of a Scrum team ensuring the high-quality delivery of products and services for our customers. Lead Quality Assurance Engineer : For this role, you would need a minimum of five years’ hands-on experience designing, developing and implementing quality engineering practices and processes. You’ll lead a feature team within an agile release train in accordance with quality standards and best practice guidelines. Our IT roles are based in cosmopolitan Dubai, so you can enjoy the benefits of year-round sunshine, world-class hospitality and dining, major annual events and much more. Open up a world of possibilities and fast-track your IT career with Emirates, with mentorship programmes, ongoing training, tech academy, a networking/tech community and social events.",Bac+4
" This is your opportunity to showcase your expertise and deliver innovative projects for the world’s largest airline. Depending on your experience, you could be considered for one of two roles: Senior Software Engineer : You’ll need at least three years’ hands-on iOS or Android development experience and proven expertise in independently developing and implementing iOS or Android solutions and problem resolutions. This role is part of an agile feature team and involves technical design, software development, implementation and maintenance software solutions/products that support the Emirates Group Business. Senior Technical Software Engineer : For this role, you would need a minimum of five years’ hands-on iOS or Android development experience. You’ll provide technical leadership to your team and be responsible for driving and implementing software engineering strategies, standards and guidelines, as well as collaborating with the team to develop business critical technical solutions. This role also involves planning/estimation, application development, deployment, release, hyper-care and operation of developed solutions. Our IT roles are based in cosmopolitan Dubai, so you can enjoy the benefits of year-round sunshine, world-class hospitality and dining, major annual events and much more. Open up a world of possibilities and fast-track your IT career with Emirates, with mentorship programmes, ongoing training, tech academy, a networking/tech community and social events.",Bac+4
" This is your opportunity to showcase your expertise and deliver innovative projects for the world’s largest airline. Depending on your experience, you could be considered for one of two roles: Senior Software Engineer : You’ll need at least three years’ hands-on ORACLE ERP development experience and proven expertise in independently developing and implementing ORACLE ERP solutions and problem resolutions. This role is part of an agile feature team and involves technical design, software development, implementation and maintenance software solutions/products that support the Emirates Group Business. Senior Technical Software Engineer : For this role, you would need a minimum of five years’ hands-on ORACLE ERP development experience. You’ll provide technical leadership to your team and be responsible for driving and implementing software engineering strategies, standards and guidelines, as well as collaborating with the team to develop business critical technical solutions. This role also involves planning/estimation, application development, deployment, release, hyper-care and operation of developed solutions. Our IT roles are based in cosmopolitan Dubai, so you can enjoy the benefits of year-round sunshine, world-class hospitality and dining, major annual events and much more. Open up a world of possibilities and fast-track your IT career with Emirates, with mentorship programmes, ongoing training, tech academy, a networking/tech community and social events.",Bac+4
" Vous rejoindrez une des activités de la chaine de valeur du crédit et de la banque à distance, plus précisément au sein de l’activité « Réutilisation Crédit Renouvelable ». Vous aurez pour missions principales de contacter nos clients particuliers, vous approfondissez la connaissance client et son projet pour proposer nos meilleures offres commerciales personnalisées. Vous aurez pour missions principales : Commercialiser auprès de nos clients finaux des produits de différentes gammes : la marque SOFINCO et partenaires, Analyser les besoins des clients et leurs motivations afin de leurs proposer les offres commerciales les plus adaptées, Réaliser des objectifs quantitatifs et qualitatifs pour le développement du chiffre d’affaires de votre activité, Fidéliser les clients grâce à un sens pointu du service et à une qualité de travail reconnue. Etre le garant du respect de nos politiques commerciales, et des process de traitement métier. Pour plus d'informations, consultez notre site web : www.uni-fitel.com",Bac+2
" Vous rejoindrez une des activités de la chaine de valeur du crédit et de la banque à distance, plus précisément au sein de l’activité « Réutilisation Crédit Renouvelable ». Vous aurez pour missions principales de contacter nos clients particuliers, vous approfondissez la connaissance client et son projet pour proposer nos meilleures offres commerciales personnalisées. Vous aurez pour missions principales : Commercialiser auprès de nos clients finaux des produits de différentes gammes : la marque SOFINCO et partenaires, Analyser les besoins des clients et leurs motivations afin de leurs proposer les offres commerciales les plus adaptées, Réaliser des objectifs quantitatifs et qualitatifs pour le développement du chiffre d’affaires de votre activité, Fidéliser les clients grâce à un sens pointu du service et à une qualité de travail reconnue. Etre le garant du respect de nos politiques commerciales, et des process de traitement métier. Pour plus d'informations, consultez notre site web : www.unifitel.co.ma",Bac+2
" Nous recherchons un chef de projet Senior Scrum qui aura pour missions : Fonctions et responsabilités : La/Le Chef(fe) de Projet participe à des projets de développement pour un ou plusieurs clients, sous la responsabilité du directeur de projet ; La/Le Chef(fe) de Projet est responsable, vis-à-vis du client et de CGI, du suivi, de la bonne conduite et de la réussite d’un projet ; Elle/Il coordonne les actions nécessaires à la réalisation du projet, fixe les objectifs, les moyens et l’organisation utiles au bon déroulement du projet. Garantir le respect des engagements de développement prévus au contrat ; Piloter un projet NTI en mode TMA et/ou Agile ; Garantir la rentabilité de son périmètre au regard des objectifs définis ; Définir et améliorer les pratiques qualité et les procédures du périmètre ; Garantir la satisfaction du client ; Garantir une structure efficace de communication et de reporting vers son équipe et vers son management ; Assurer l’interface client ; Identifier les risques du périmètre ; Suivre et faire évoluer les compétences de l’équipe sur son périmètre, mener ou faire mener les entretiens de mission et contribuer à l’évaluation des membres ; Contribuer à des estimations de charge dans le cadre de propositions commerciales. Focus Agile / Scrum Master : Une expérience probante en tant que Scrum Master ; Coordination entre les différents acteurs Agile client et CGI ; Assure le lien avec la direction de projet CGI ; Accompagnement au changement de l’équipe ; En support du PO pour l’organisation des livraisons transverses ; Validation des différentes habilitations des membres de l’équipe ; Assure un suivi de la complétude de la documentation produite ; Assure la bonne tenue de la démarche d’amélioration continue ; Est le garant de la démarche agile Responsabilités transverses : Amélioration de la qualité ; Fiabilisation des suivi de charges dans JIRA ; Mise en place de plan de charge de l’équipe ; Gestion des départs et des intégration à travers des plan de transfert de connaissances ; Maintien et capitalisation de la connaissance sur le projet via outils et plans d’actions appropriés. Responsabilités RH : Réalisation des entretiens de suivi de mission de son équipe ; Accueil et Intégration des nouveaux arrivants sur le projet ; Intervenir dans le recrutement des ressources.",Bac+5
" Dans le cadre de son développement, CGI Technologies et Services à Rabat recrute un(e) Chef de projet Senior. Fonctions et responsabilités En qualité de chef de projet, vous serez appelé à collaborer à plusieurs initiatives majeures de l’unité. Ce rôle exige une communication et une interaction avec les multiples clients internes et externes pour veiller à ce que chaque module interagisse adéquatement avec les autres. Le Chef de projet doit également résoudre les problèmes et élaborer de nouvelles améliorations pour atteindre les résultats ciblés. Si vous avez de l’expérience en gestion de projet, nous souhaitons vous connaitre. A ce titre vous aurez comme principales missions : Volet Opérationnel Global Assure le suivi du backlog de son périmètre Assure le suivi des engagements de qualité et de délai pris vis-à-vis des clients Planifie les sujets conformément aux disponibilités de l’équipe TMA et aux priorités du client Amine le morning meeting CGI avec l’équipe TMA Assure les weekly CGI avec le CP P&C Participe aux comités opérationnels client qui nécessitent sa présence Participe à la préparation et animation du comité de pilotage Assure le suivi des KPI mensuels Garant du respect des normes de sécurité Garant de la montée en compétence de l'équipe Garant de la capitalisation sur les compétences Transverse : Amélioration de la qualité Fiabilisation JIRA Mise en place de plan de charge Pilotage de la montée de connaissance Mise en place des plans d’actions d’amlioration Volet RH: Réalisation des entretiens de suivi de mission de son équipe Intégration des nouveaux arrivants sur l’activité TMA Intervenir sur le recrutement des ressources",Bac+5
" Rattaché(e) à l’unité du projet e-learning au niveau du CFPE, vous avez principalement pour mission de : - Travailler en étroite collaboration avec l'équipe de la division de formation des éducateurs pour comprendre les besoins de formation, les objectifs pédagogiques et le contenu à scénariser. - Comprendre les orientations stratégiques de la formation déclinées par la hiérarchie. - Concevoir des plans de cours, des scripts et des scénarios pour les modules de formation en utilisant des méthodologies pédagogiques efficaces. - Veiller à ce que le contenu de formation soit précis, à jour et conforme aux normes éducatives. - Garantir la réorganisation du contenu pédagogique en alignement avec les objectifs de formation préalablement définis. - Développer des quizs et des évaluations pour mesurer la compréhension et les compétences des apprenants. -Assurer la surveillance et la qualité des supports visuels et vidéos de formation produits en collaboration avec les motions designers. -Suivre et évaluer l'efficacité des programmes de formation, en apportant des améliorations continues en fonction des retours des apprenants et des besoins",Bac+3
" Dans le cadre du processus de désactivation de l'outil d'automatisation réseau BNA, nous sommes actuellement à la recherche de développeurs Python/Ansible confirmés. Leur mission consistera à assumer la responsabilité du développement d'automates en Ansible/Python destinés à la gestion des équipements réseau. Le projet englobe l'ensemble des équipements réseau relevant du domaine. Ces développeurs collaboreront étroitement avec des experts en réseau qui leur fourniront une expertise métier cruciale. La réalisation de ce projet nécessite également une familiarité avec les méthodes de développement Agile. Responsabilités : Contribuer activement à l'avancement du projet en développant les automates, en documentant leur fonctionnement et en communiquant avec les utilisateurs. Gérer l'intégration des automates dans un environnement de test et participer au déploiement vers la cible. Contribuer à la planification, à l'organisation et au suivi du projet tout en respectant les échéances. Programmer les réunions nécessaires, résoudre les points de blocage et, le cas échéant, escalader les problèmes. Évaluer les risques et proposer des solutions pour les maîtriser. Assurer la gestion du cycle de vie des automates. Fournir un soutien technique et des conseils aux équipes impliquées dans la mise en œuvre et la migration de BNA vers les automates développés. Connaissances / compétences techniques : Expérience confirmée en développement Python Connaissance avancée dans l’utilisation d’Ansible Compétences en programmation, en développement et architecture logicielle. Excellentes capacités de communication et aptitude à travailler en équipe. Maitrise dans l’utilisation d’outil de versioning (Git) pour gérer les modifications du code source. Connaissance des principes et outils de CI/CD (Gitlab) Connaissance des méthodes Agile (SCRUM) Connaissance des outils JIRA/Confluence Connaissance des environnements système Linux Connaissance des réseaux et infrastructures informatiques est un plus",Bac+5
" Dans le cadre de la politique sportive, animer et enseigner les activités du sport dans son domaine afin d’amener les usagers à un haut niveau de pratique, de maintenir un bon état de santé générale et contribuer à la reconnaissance de l’UM6P comme université de référence. -MISSIONS ET RESPONSABILITES Encadrement, enseignement et animation d'activités physiques et sportives Finalité : Réaliser les activités sportives en Rugby selon le niveau d’excellence attendu A cet effet, il doit : - Intervenir au sein des projets éducatifs et sportifs en cohérence avec la politique de l’UM6P - Participer à l'élaboration des projets éducatifs - Négocier et argumenter auprès de la hiérarchie et des différents partenaires - Enseigner le sport concerné (initiation et perfectionnement) aux étudiants du campus - Gérer les plannings des usagers et des réservations - Evaluer les étudiants et les entraîner pour les compétitions - Adapter son intervention en fonction des publics, des niveaux et des capacités d'apprentissage et de la faisabilité de l'activité - Analyser les déterminants de la performance de l'activité sportive - Tenir à jour sa documentation (programme, planification des cycles, séances…) Manifestations sportives Finalité : Assurer l’organisation et/ou mise en œuvre des manifestations sportives A cet effet, il doit : - Mobiliser et coordonner les différents acteurs et moyens autour d’une manifestation sportive - Animer des réunions - Mesurer les risques liés aux manifestations sportives - Promouvoir la politique sportive de l’UM6P Surveillance et sécurité des activités Finalité : Contrôler la qualité des installations et assurer l’hygiène et la sécurité des usagers A cet effet, il doit : - Détecter les anomalies liées aux équipements et infrastructures de rugby. - Appliquer et faire appliquer la réglementation - Prendre des initiatives en cas d'urgence -SPÉCIFICITÉS DU POSTE L’UM6P est à vocation international et exige un service de grande qualité. Le candidat devra faire preuve d’une grande adaptabilité et être prêt à travailler dans un environnement multiculturel. Le planning décalé (travail tard le soir, tôt le matin, les weekends) présente un éventuel souci pour les personnes non motorisées.",Bac+3
" Area of Research: Synthetic Organic Chemistry Organic and sustainable chemistry Organic materials Job description: The Institute of Science, Technology & Innovation (IST&I) at Mohammed VI Polytechnic University (UM6P) invites applications for a full-time Research Scientist position for an outstanding chemist to undertake research in Sustainable Organic Chemistry. The ideal candidate should have an experience in synthesis and chemical analysis of organic molecules and in sustainable and environmentally friendly approaches to chemical synthesis and production. Other duties include advising graduate students and contribution to build up a first-class research-oriented teaching and research programs at UM6P. The incumbent will be encouraged to work with current faculty in related fields, should be able to contribute to interdisciplinary research collaborations in one or more areas at UM6P’s ecosystem. Ability to engage professionally with a diverse population of faculty, staff, and students across the university and externally is required. The position is open to individuals who hold a Doctoral degree in the subject discipline from a recognized university with minimum 2-years’ research experience (Post Doc). Excellent English communication, both verbal and written, is required. Key duties: Successful candidates are expected to: Establishment of a state-of-the-art laboratory around organic and sustainable chemistry, Conducting scientific research in a team composed of multidisciplinary researchers, Initiate and develop funded research projects and programs in collaboration with multidisciplinary groups in the field, Participate in training and supervision of graduate students, development of teaching materials, Publish research results in peer-reviewed and high impact international academic journals of the field, Establish and maintain close working relationships, collaborations, and partnerships with industrial institutions and other UM6P researchers/groups on multidisciplinary research projects. Skills: The candidate must have demonstrated a research activity in most of the following disciplinary fields: The candidate should have a proven record of scientific achievements in organic chemistry, in publications from international journals, Very good knowledge and excellent experimental skills in synthesis, preparative purification techniques and structural characterization of organic molecules (NMR, GC-MS, IR, UV-Vis) is expected. A record of research productivity in organic chemistry or closely related fields. Ability to plan and execute multi-step synthetic schemes to access target molecules. Develop new sustainable methodologies for the synthesis of existing as well as new molecules. Excellent lab skills and background in organic synthesis are essential. Experience with purification & crystallization of organic/organometallic compounds Expertise in the synthesis and structural characterization of air-sensitive compounds (including glove-box techniques) are essential, The person is required to independent preparation of scientific publications and presentations as well as must be experienced in writing manuscripts and grant applications, Candidate should be creative, hardworking, highly motivated, well organized, independent in planning and conducting experiments, ability to work in a team. Applications must be submitted online; the folder must contain: A cover letter indicating the position applied for and the main research interests, A detailed CV, Brief research statements, 3 references to be contacted directly by IST&I.",Bac+5
" This is your opportunity to showcase your expertise and deliver innovative projects for the world’s largest airline. Depending on your experience, you could be considered for one of two roles: Senior Software Engineer : You’ll need at least three years’ hands-on TPF/ALCS development experience and proven expertise in independently developing and implementing TPF/ALCS solutions and problem resolutions. This role is part of an agile feature team and involves technical design, software development, implementation and maintenance software solutions/products that support the Emirates Group Business. Senior Technical Software Engineer : For this role, you would need a minimum of five years’ hands-on TPF/ALCS development experience. You’ll provide technical leadership to your team and be responsible for driving and implementing software engineering strategies, standards and guidelines, as well as collaborating with the team to develop business critical technical solutions. This role also involves planning/estimation, application development, deployment, release, hyper-care and operation of developed solutions. Our IT roles are based in cosmopolitan Dubai, so you can enjoy the benefits of year-round sunshine, world-class hospitality and dining, major annual events and much more. Open up a world of possibilities and fast-track your IT career with Emirates, with mentorship programmes, ongoing training, tech academy, a networking/tech community and social events.",Bac+4
" Dans le cadre du renforcement de ses structures, la Caisse de Dépôt et de Gestion, lance un appel à candidatures internes pour pourvoir un poste de Chargé(e) de Gouvernance Groupe rattaché à la Direction Gouvernance Groupe, relevant du Pôle Gouvernance, conformité et contrôle juridique. I. Principales missions du Juriste Chargé(e) de Gouvernance Groupe : Les principales responsabilités du Juriste Chargé(e) de Gouvernance Groupe se résument comme suit : • Contribuer à l’application et à l’évaluation de la mise en œuvre de la Charte de Gouvernance au niveau du Groupe ; • Proposer des pistes d'actualisation de la charte de gouvernance afin de prendre en compte les évolutions du groupe et des standards internationaux ; • Assurer l'assistance et le conseil dans le domaine dédié du droit des sociétés, des instances (CA, AG..) et de la gouvernance intéressant les activités du Groupe et s'assurer de la bonne application des dispositions légales et réglementaires ; • Contribuer, en collaboration avec les entités du Groupe, à la constitution des dossiers, à la rédaction des projets de note à insérer dans les dossiers des réunions d'instances ; • Veiller à la mise en œuvre et au suivi de la réalisation technique des dossiers des réunions d’instances par le secrétariat : convocations, diffusion des dossiers et réalisations des formalités subséquentes ; • Assister aux réunions des instances dédiées, en établir les procès-verbaux ; • Veiller sur la conformité des PV et compte-rendu des différentes instances de gouvernance du Groupe en termes d'élaboration, de validation et de signature desdits PV ; • Réaliser des études juridiques notamment liées au fonctionnement des entités du Groupe (évolutions statutaires et des pouvoirs...) ; • Assurer et accompagner la gestion des mandats des administrateurs (nominations, démissions, renouvellements, rémunération des indépendants...) ; • Accompagner les administrateurs du Groupe en répondant aux requêtes internes et externes relatives à des points liés à la gouvernance ; • Participer aux travaux de production et d'édition périodique du rapport annuel de gouvernance Groupe ; • Rédiger tout acte intéressant le fonctionnement et l’activité des instances du Groupe ; • Assurer une bonne gestion de la cartographie des administrateurs ; • Réaliser une veille continue des bonnes pratiques en matière de gouvernance dans le monde par la production de notes de veille ; • Participer à la prise en charge de l'ensemble des projets de modernisation et d'amélioration de l'action de la direction.",Bac+5
" Rattaché(e) au responsable AMOA et PMO, vos missions seront d'établir les cahiers des charges et définir les plans d’actions appropriés, supporter les équipes utilisatrices dans les étapes de la recette, tests avant intégration et accompagnement du changement et accompagner l’évolution de l’application après déploiement. Vos principales activités seront les suivantes: Prendre en charge le projet du cahier des charges à la recette utilisateur et son déploiement. Suivre la conception du projet (besoin client, spécification fonctionnelle, planification, livrables, critères de réception…). Piloter le projet en constituant, organisant, coordonnant et animant l’équipe projet interne et externe, selon le cahier des charges (demande du client, budget, délais…). Réaliser l'étude d’opportunité et de rentabilité. Proposer des solutions en mettant en évidence leurs avantages et inconvénients. Fournir des indications de coûts en mettant en évidence les sources d'incertitudes et leurs impacts. S'assurer de la clarté de la précision et de la complétude des cahiers des charges. Effectuer un suivi fréquent et détaillé de l'avancement du projet (examen des jalons. livrables. risques notamment). Assurer le suivi auprès des clients.",Bac+5
" En tant que Business Developer, vous serez responsable du développement commercial de notre entreprise. Vous travaillerez en étroite collaboration avec l'équipe de direction sales pour identifier et exploiter de nouvelles opportunités d'affaires. Vos principales missions incluront : Prospection active : recherche et développement de nouveaux prospects. Analyse du marché et identification des tendances. Élaboration et mise en œuvre de stratégies de développement commercial. Gestion du cycle de vente de la prospection à la conclusion des contrats. Construction et entretien de relations durables avec les clients existants. Vous appliquerez notre expertise commerciale dans un processus précis selon les dispositifs éligibles et disponibles. Vous mènerez des qualifications précises des clients et interlocuteurs potentiels. ***Vos mots-clés : Prospection et Fidélisation ! ***Votre feuille de route : Promouvoir notre entreprise et élargir notre réseau. Nous vous proposons de nombreux avantages pour vous offrir un environnement de travail agréable, qui respecte nos Cinq valeurs : FUN, SOLIDARITE, MERITOCRATIE, EXCELLENCE et INNOVATION ! Package avec de nombreux avantages : salaire attractif (fixe entre 13 à 15k selon expérience/statut) + package évolutif/progressif (estimation 1ère année entre 18 et 22k) + variable déplafonné, mutuelle à 90%, conventions médicales, loisirs, etc. Environnement international et esprit start-up dans un grand groupe ; Environnement d’apprentissage continu ; Accompagnement tout au long de votre carrière (parcours d’évolution de carrière, mobilité, Leyton Academy, etc.) ; Team buildings, sorties d’équipes ; Possibilité de vous engager sur des projets RSE ;",Bac+3
